City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Carnarvon,AU,-24.8667,113.6333,67.64,88,3,3.94,clear sky
336,Laramie,US,41.3114,-105.5911,72.16,33,30,5.99,scattered clouds
337,Diffa,NE,13.3154,12.6113,77.94,77,78,13.49,broken clouds
338,Beira,MZ,-19.8436,34.8389,66.85,83,0,3.47,clear sky
339,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,79,14,6.13,few clouds
340,Cayenne,GF,4.9333,-52.3333,83.08,83,0,1.01,clear sky
341,Falmouth,GB,50.1544,-5.0711,59.9,100,41,1.99,scattered clouds
342,Bontang,ID,0.1333,117.5,79.65,86,99,2.42,overcast clouds
343,Constitucion,CL,-35.3333,-72.4167,49.82,76,98,8.75,overcast clouds
344,Buchanan,LR,5.8808,-10.0467,76.53,80,41,7.36,scattered clouds
