City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Hami,CN,2021-08-02 17:16:15,42.8,93.45,81.45,20,0,3.02
225,Sibolga,ID,2021-08-02 17:18:08,1.7427,98.7792,77.11,84,76,3.51
226,Kristiinankaupunki,FI,2021-08-02 17:18:08,62.2743,21.376,53.53,89,100,13.2
227,Brae,GB,2021-08-02 17:18:08,60.3964,-1.353,53.51,71,100,6.53
228,Severo-Kurilsk,RU,2021-08-02 17:16:12,50.6789,156.125,50.67,86,89,19.84
229,Dunedin,NZ,2021-08-02 17:16:05,-45.8742,170.5036,46.8,82,100,21.0
230,Salta,AR,2021-08-02 17:18:09,-24.7859,-65.4117,66.79,30,0,4.0
231,Estepa,ES,2021-08-02 17:18:09,37.2926,-4.879,89.8,18,41,3.87
232,Shatki,RU,2021-08-02 17:18:09,55.1887,44.1249,76.77,53,54,7.16
233,Sao Joao Da Barra,BR,2021-08-02 17:16:18,-21.6403,-41.0511,75.29,65,8,10.85
234,Abu Kamal,SY,2021-08-02 17:18:10,34.4506,40.9171,100.89,10,0,9.57
235,Mananjary,MG,2021-08-02 17:18:10,-21.2167,48.3333,66.88,88,1,7.0
236,Sao Filipe,CV,2021-08-02 17:15:28,14.8961,-24.4956,76.89,78,60,6.2
237,Tautira,PF,2021-08-02 17:18:11,-17.7333,-149.15,73.42,72,85,15.23
238,Pincher Creek,CA,2021-08-02 17:18:11,49.4833,-113.952,75.13,71,90,11.5
239,Kandi,BJ,2021-08-02 17:18:11,11.1342,2.9386,79.72,79,96,2.75
240,Muros,ES,2021-08-02 17:18:11,42.7762,-9.0603,76.23,53,37,14.74
241,Estelle,US,2021-08-02 17:18:12,29.8458,-90.1067,90.0,97,90,9.22
242,Bereda,ES,2021-08-02 17:16:32,43.2686,-7.5406,70.57,67,41,7.34
243,Spencer,US,2021-08-02 17:16:30,43.1414,-95.1444,77.77,53,2,1.16
244,Alta Floresta,BR,2021-08-02 17:18:12,-9.8756,-56.0861,94.82,31,0,10.36
245,Pisco,PE,2021-08-02 17:18:13,-13.7,-76.2167,66.02,77,75,9.22
246,Vao,NC,2021-08-02 17:18:13,-22.6667,167.4833,66.06,67,9,8.25
247,Sao Desiderio,BR,2021-08-02 17:18:13,-12.3633,-44.9733,88.2,20,57,7.81
248,Brewster,US,2021-08-02 17:18:13,41.3973,-73.6171,78.58,64,20,1.01
249,Yelizovo,RU,2021-08-02 17:18:14,53.1873,158.3805,50.14,93,75,4.47
250,Padang,ID,2021-08-02 17:18:14,-0.9492,100.3543,75.25,86,85,3.96
251,Rafai,CF,2021-08-02 17:18:14,4.95,23.9167,73.94,75,99,1.63
252,Fethiye,TR,2021-08-02 17:18:15,36.6217,29.1164,89.47,35,0,3.96
253,San Nicolas,PH,2021-08-02 17:18:15,18.1725,120.5953,79.25,91,100,16.42
254,Osoyoos,CA,2021-08-02 17:18:15,49.0331,-119.4524,84.0,73,100,1.14
255,Te Anau,NZ,2021-08-02 17:15:24,-45.4167,167.7167,38.86,91,100,2.64
256,Shima,CN,2021-08-02 17:18:15,24.4478,117.8111,78.82,96,100,4.41
257,Vanimo,PG,2021-08-02 17:16:35,-2.6741,141.3028,78.62,89,54,6.26
258,Boa Vista,BR,2021-08-02 17:18:16,2.8197,-60.6733,80.58,78,90,11.5
259,Najran,SA,2021-08-02 17:18:16,17.4924,44.1277,88.45,32,100,8.46
260,Taitung,TW,2021-08-02 17:16:40,22.7583,121.1444,80.62,86,86,4.07
261,Morro Bay,US,2021-08-02 17:15:54,35.3658,-120.8499,75.99,69,0,5.99
262,Cidreira,BR,2021-08-02 17:18:15,-30.1811,-50.2056,60.66,68,19,9.46
263,Ambon,ID,2021-08-02 17:18:17,-3.6954,128.1814,79.36,84,40,7.29
264,Roma,US,2021-08-02 17:18:17,43.2128,-75.4557,74.39,56,20,4.0
265,Dolzhanskaya,RU,2021-08-02 17:18:18,46.6311,37.8039,84.9,65,0,8.93
266,Baruun-Urt,MN,2021-08-02 17:18:18,46.6806,113.2792,63.75,45,91,3.89
267,Kapit,MY,2021-08-02 17:18:18,2.0167,112.9333,73.11,96,63,0.98
268,Ahipara,NZ,2021-08-02 17:18:18,-35.1667,173.1667,54.12,71,9,24.34
269,Ayorou,NE,2021-08-02 17:18:19,14.7308,0.9174,97.11,32,100,6.46
270,Ostrovnoy,RU,2021-08-02 17:18:19,68.0531,39.5131,61.41,81,60,11.39
271,Sangar,RU,2021-08-02 17:18:19,63.9242,127.4739,63.14,36,8,6.78
272,Pachino,IT,2021-08-02 17:18:20,36.7186,15.0907,98.64,59,6,2.98
273,Mahebourg,MU,2021-08-02 17:15:06,-20.4081,57.7,66.25,66,1,6.38
274,Ixtapa,MX,2021-08-02 17:18:20,20.7,-105.2,88.23,74,75,5.75
275,Tuburan,PH,2021-08-02 17:18:20,6.6439,122.2736,81.75,79,99,4.14
276,Port Keats,AU,2021-08-02 17:18:21,-14.25,129.55,76.89,77,55,2.77
277,Fallon,US,2021-08-02 17:18:21,39.4735,-118.7774,85.28,32,20,4.61
278,Panshi,CN,2021-08-02 17:18:21,42.9422,126.0561,65.34,98,100,2.62
279,Shimoda,JP,2021-08-02 17:16:38,34.6667,138.95,78.1,89,100,9.57
280,Wajima,JP,2021-08-02 17:18:22,37.4,136.9,80.91,81,81,6.55
281,Aswan,EG,2021-08-02 17:18:22,24.0934,32.907,100.94,11,0,8.34
282,Caravelas,BR,2021-08-02 17:18:22,-17.7125,-39.2481,74.37,55,99,8.55
283,Hualmay,PE,2021-08-02 17:18:22,-11.0964,-77.6139,68.18,69,19,10.65
284,Emerald,AU,2021-08-02 17:18:23,-23.5333,148.1667,64.98,47,1,8.48
285,Pangnirtung,CA,2021-08-02 17:15:50,66.1451,-65.7125,53.6,76,75,9.22
286,Bicester,GB,2021-08-02 17:18:23,51.9,-1.1536,65.61,83,100,4.76
287,Ukiah,US,2021-08-02 17:18:23,39.1502,-123.2078,87.37,26,15,2.66
288,Sioux Lookout,CA,2021-08-02 17:17:18,50.1001,-91.917,77.38,44,90,9.22
289,Peleduy,RU,2021-08-02 17:18:24,59.6289,112.7406,56.89,97,100,1.95
290,Kumla,SE,2021-08-02 17:18:24,59.1277,15.1434,59.32,67,75,10.36
291,Lupiro,TZ,2021-08-02 17:18:24,-8.3833,36.6667,70.83,59,18,3.02
292,Karratha,AU,2021-08-02 17:17:31,-20.7377,116.8463,64.49,21,0,16.13
